Tenor,Expiry,-150,-100,-50,-25,ATM,25,50,100,150
2y,3m,No data,31.999999999999943,116.0,24.0,8.0,0.0,0.0,0.0,No data
2y,6m,No data,28.00000000000004,95.99999999999999,24.00000000000001,11.999999999999996,0.0,4.0,0.0,No data
2y,9m,No data,31.999999999999943,84.00000000000001,20.0,7.999999999999999,7.999999999999999,0.0,4.0,No data
2y,1y,No data,32.000000000000014,75.99999999999999,20.0,7.999999999999995,3.9999999999999973,4.336808689942018e-15,7.999999999999999,No data
2y,2y,No data,0.0,60.00000000000005,7.999999999999986,7.999999999999986,12.000000000000014,0.0,7.999999999999995,No data
2y,5y,No data,3.9999999999999756,24.00000000000003,-1.734723475976807e-14,4.000000000000011,3.999999999999993,-11.999999999999996,8.000000000000004,No data
2y,10y,No data,-8.673617379884035e-15,4.000000000000011,3.999999999999993,0.0,-4.336808689942018e-15,0.0,4.336808689942018e-15,No data
5y,3m,No data,3.9999999999999063,100.00000000000004,23.999999999999957,28.00000000000002,19.999999999999996,8.0,4.0,No data
5y,6m,No data,7.999999999999951,99.99999999999999,16.000000000000007,20.000000000000018,11.999999999999996,7.999999999999999,8.0,No data
5y,9m,No data,11.999999999999927,92.0,16.000000000000007,12.000000000000014,8.000000000000004,4.000000000000002,15.999999999999998,No data
5y,1y,No data,16.000000000000043,83.99999999999997,12.00000000000003,8.000000000000004,7.999999999999986,0.0,15.999999999999998,No data
5y,2y,No data,19.999999999999947,47.999999999999986,7.999999999999986,8.000000000000021,3.999999999999993,-11.999999999999996,15.99999999999999,No data
5y,5y,No data,7.999999999999986,24.00000000000003,-1.734723475976807e-14,4.000000000000011,0.0,-3.999999999999993,0.0,No data
5y,10y,No data,-8.673617379884035e-15,4.000000000000011,3.999999999999993,0.0,-4.336808689942018e-15,0.0,-3.9999999999999973,No data
10y,3m,No data,7.999999999999951,104.00000000000003,15.999999999999972,23.999999999999993,20.000000000000007,7.9999999999999964,8.0,No data
10y,6m,No data,16.00000000000011,95.99999999999997,12.00000000000003,15.99999999999999,11.999999999999996,4.000000000000002,15.999999999999998,No data
10y,9m,No data,12.000000000000066,83.99999999999994,11.999999999999996,12.000000000000014,11.999999999999979,0.0,16.000000000000004,No data
10y,1y,No data,20.000000000000018,75.99999999999996,8.000000000000021,7.999999999999986,11.999999999999996,-3.999999999999993,15.999999999999993,No data
10y,2y,No data,19.999999999999947,48.00000000000002,8.000000000000021,3.999999999999993,4.000000000000011,-8.000000000000004,15.99999999999999,No data
10y,5y,No data,7.999999999999986,24.00000000000003,-1.734723475976807e-14,4.000000000000011,0.0,-7.999999999999986,8.000000000000004,No data
10y,10y,No data,4.000000000000002,7.999999999999995,0.0,0.0,-4.336808689942018e-15,0.0,-3.9999999999999973,No data
15y,3m,No data,4.000000000000045,103.99999999999999,16.000000000000007,19.999999999999982,24.00000000000001,7.9999999999999964,8.0,No data
15y,6m,No data,11.999999999999996,95.99999999999997,11.999999999999996,11.999999999999979,16.000000000000007,4.000000000000002,15.999999999999998,No data
15y,9m,No data,20.000000000000018,80.0,11.999999999999996,11.999999999999996,8.000000000000004,4.000000000000002,16.000000000000004,No data
15y,1y,No data,16.000000000000043,71.99999999999997,11.999999999999996,11.999999999999979,4.000000000000011,8.673617379884035e-15,15.999999999999993,No data
15y,2y,No data,15.999999999999902,56.00000000000004,0.0,7.999999999999986,8.000000000000004,-11.999999999999996,11.999999999999996,No data
15y,5y,No data,7.999999999999986,20.0,3.999999999999993,4.000000000000011,0.0,-4.000000000000002,3.999999999999993,No data
15y,10y,No data,4.000000000000002,7.999999999999995,0.0,-4.336808689942018e-15,0.0,4.336808689942018e-15,-4.336808689942018e-15,No data
30y,3m,No data,4.000000000000045,103.99999999999999,16.000000000000007,23.999999999999993,16.000000000000007,11.999999999999998,8.0,No data
30y,6m,No data,15.999999999999972,88.00000000000001,15.999999999999972,11.999999999999979,16.000000000000007,4.000000000000002,15.999999999999998,No data
30y,9m,No data,20.000000000000018,80.0,11.999999999999996,11.999999999999996,11.999999999999996,-4.000000000000002,20.000000000000004,No data
30y,1y,No data,16.000000000000043,75.99999999999999,8.000000000000021,7.999999999999986,8.000000000000004,8.673617379884035e-15,15.999999999999993,No data
30y,2y,No data,11.999999999999996,51.99999999999999,8.000000000000021,3.999999999999993,4.000000000000011,-8.000000000000004,15.99999999999999,No data
30y,5y,No data,7.999999999999986,20.0,3.999999999999993,4.000000000000011,0.0,-4.000000000000002,3.999999999999993,No data
30y,10y,No data,4.000000000000002,7.999999999999995,0.0,-4.336808689942018e-15,0.0,-3.9999999999999973,3.9999999999999973,No data
3y9m,2y2m,No data,15.999999999999972,47.999999999999986,4.000000000000011,3.9999999999999756,3.999999999999993,-11.999999999999996,12.000000000000014,No data
